Subj,Cat,Sect,"Class
Nbr",Title,Day,Start,End,Bldg/Room,Type,Instructor,Units,Notes,Available
AAAS,1001,01,96153,IHE IN THE PACIFIC CENTURY,TR,4:30 PM,5:45 PM,KH B1017,LEC,"Chiu,Wei Lun Jason",3.00,,Open
AAAS,1001,02,96154,IHE IN THE PACIFIC CENTURY,TR,10:50 AM,12:05 PM,SH 264,LEC,"Yoon,Sun-Hee",3.00,,Closed
AAAS,1500,01,93397,ASIAN-AMERICAN HISTORY,TR,9:25 AM,10:40 AM,MUS 118,LEC,"Chiu,Wei Lun Jason",3.00,Combine with HIST 1500 01,Closed
AAAS,1600,01,96156,HISTORY OF ASIA,TR,1:40 PM,2:55 PM,KH C4073,LEC,"Yoon,Sun-Hee",3.00,Combine with HIST 1600 01,Open
AAAS,2000,01,94299,PAC ASIAN CULTURE/PEOPLE & SOC,TR,1:40 PM,2:55 PM,MUS 220,LEC,"Chiu,Wei Lun Jason",3.00,,Open
AAAS,2100,01,92717,ASIAN AMERICA,MW,3:05 PM,4:20 PM,KH B1007,LEC,"Xing,Jun",3.00,,Open
AAAS,2200,01,92719,ASIAN ASAM LIT ARTS MEDIA,MW,4:30 PM,5:45 PM,KH C4070,LEC,"Chiu,Wei Lun Jason",3.00,,Open
AAAS,3480,01,92720,"RACE, CLASS, AND GENDER",TR,10:50 AM,12:05 PM,MUS 118,LEC,"Phun,Juily Iyn Vo",3.00,Combine with PAS 3480 01,Open
AAAS,3480,02,93688,"RACE, CLASS, AND GENDER",TR,4:30 PM,5:45 PM,KH C4071,LEC,"Phun,Juily Iyn Vo",3.00,Combine with PAS 3480 02,Open
AAAS,3510,01,92721,FOOD JUSTICE API,TR,1:40 PM,2:55 PM,BIOS 334,LEC,"Phun,Juily Iyn Vo",3.00,,Open
AAAS,3520,01,93796,ASAM ORAL HIST,R,6:00 PM,8:45 PM,KH B3008,LEC,"Phun,Juily Iyn Vo",3.00,Combine with HIST 3520 01,Open
AAAS,3530,01,97276,ASIAN / ASIAM AM LIT,MW,1:40 PM,2:55 PM,MUS 110,LEC,"Xing,Jun",3.00,,Open
